lien,academie
https://cyclades.education.gouv.fr/candidat/publication/CE1/A31,Martinique
https://cyclades.education.gouv.fr/candidat/publication/CE1/A32,Guadeloupe
https://cyclades.education.gouv.fr/candidat/publication/CE1/A28,La Réunion
https://cyclades.education.gouv.fr/candidat/publication/CE1/A33,Guyane*
https://cyclades.education.gouv.fr/candidat/publication/CE1/A43,Mayotte*
https://cyclades.education.gouv.fr/candidat/publication/CE1/A42,Wallis-et-Futuna*
https://cyclades.education.gouv.fr/candidat/publication/CE1/A41,Polynésie Française*
https://cyclades.education.gouv.fr/candidat/publication/CE1/A40,Nouvelle-Calédonie*
https://cyclades.education.gouv.fr/candidat/publication/CE1/A44,Saint-Pierre-et-Miquelon*
https://cyclades.education.gouv.fr/candidat/publication/CE1/A09,Lille
https://cyclades.education.gouv.fr/candidat/publication/CE1/A14,Rennes
https://cyclades.education.gouv.fr/candidat/publication/CE1/A70,Normandie
https://cyclades.education.gouv.fr/candidat/publication/CE1/A20,Amiens
https://cyclades.education.gouv.fr/candidat/publication/CE1/A19,Reims
https://cyclades.education.gouv.fr/candidat/publication/CE1/A12,Nancy-Metz
https://cyclades.education.gouv.fr/candidat/publication/CE1/A15,Strasbourg
https://cyclades.education.gouv.fr/candidat/publication/CE1/A17,Nantes
https://cyclades.education.gouv.fr/candidat/publication/CE1/A18,Orléans-Tours
https://cyclades.education.gouv.fr/candidat/publication/CE1/A07,Dijon
https://cyclades.education.gouv.fr/candidat/publication/CE1/A03,Besançon
https://cyclades.education.gouv.fr/candidat/publication/CE1/A24,Créteil
https://cyclades.education.gouv.fr/candidat/publication/CE1/A25,Versailles
https://cyclades.education.gouv.fr/candidat/publication/CE1/A01,Paris
https://cyclades.education.gouv.fr/candidat/publication/CE1/A13,Poitiers
https://cyclades.education.gouv.fr/candidat/publication/CE1/A22,Limoges
https://cyclades.education.gouv.fr/candidat/publication/CE1/A06,Clermont-Ferrand
https://cyclades.education.gouv.fr/candidat/publication/CE1/A10,Lyon
https://cyclades.education.gouv.fr/candidat/publication/CE1/A08,Grenoble
https://cyclades.education.gouv.fr/candidat/publication/CE1/A04,Bordeaux
https://cyclades.education.gouv.fr/candidat/publication/CE1/A16,Toulouse
https://cyclades.education.gouv.fr/candidat/publication/CE1/A11,Montpellier
https://cyclades.education.gouv.fr/candidat/publication/CE1/A02,Aix-Marseille
https://cyclades.education.gouv.fr/candidat/publication/CE1/A23,Nice
https://cyclades.education.gouv.fr/candidat/publication/CE1/A27,Corse

